"MLBId","G","GS","PO","A","E","POS"
605476,3,0,0,0,0,"P"
605480,50,47,113,5,1,"CF"
605483,6,6,1,10,0,"P"
605486,13,13,22,35,5,"2B"
605490,0,0,0,0,0,"CF"
605508,0,0,0,0,0,"CF"
605509,23,18,17,40,3,"2B"
605512,9,4,7,0,0,"DH"
605523,0,0,0,0,0,""
605525,2,0,0,0,0,"P"
605538,18,17,5,11,0,"P"
605541,14,12,1,3,1,"P"
605894,10,0,1,1,0,"P"
606115,0,0,0,0,0,"SS"
606120,0,0,0,0,0,""
606131,21,6,4,9,1,"P"
606132,0,0,0,0,0,"CF"
606133,0,0,0,0,0,""
606160,2,0,0,0,0,"P"
606167,0,0,0,0,0,"P"
606273,2,1,0,1,0,"P"
606291,7,0,0,0,0,"P"
606299,19,14,22,16,1,"SS"
606323,0,0,0,0,0,""
606424,0,0,0,0,0,"P"
606466,70,69,97,188,13,"SS"
606928,0,0,0,0,0,""
606930,12,0,2,1,0,"P"
606935,0,0,0,0,0,""
606959,0,0,0,0,0,"P"
606965,22,4,3,8,0,"P"
607036,0,0,0,0,0,""
607043,12,10,15,0,0,"LF"
607054,42,37,73,96,5,"2B"
607067,17,16,4,15,0,"P"
607074,16,16,5,6,0,"P"
607111,0,0,0,0,0,""
607170,0,0,0,0,0,"P"
607185,0,0,0,0,0,"P"
607188,0,0,0,0,0,"P"
607192,1,1,0,1,0,"P"
607208,2,1,3,4,0,"CF"
607219,0,0,0,0,0,"P"
607223,7,6,49,3,1,"1B"
607229,0,0,0,0,0,"P"
607231,11,4,3,1,0,"P"
607237,0,0,0,0,0,"P"
607240,0,0,0,0,0,""
607249,0,0,0,0,0,""
607256,0,0,0,0,0,"OF"
607257,0,0,0,0,0,"C"
607259,6,4,0,2,0,"P"
607294,0,0,0,0,0,"P"
607309,8,0,0,0,0,"P"
607320,1,0,0,1,0,"P"
607343,0,0,0,0,0,""
607345,0,0,0,0,0,"C"
607352,30,0,1,4,0,"P"
607355,0,0,0,0,0,""
607359,9,0,0,0,0,"P"
607369,0,0,0,0,0,""
607374,11,11,0,10,1,"P"
607385,8,5,16,1,0,"CF"
607387,59,43,129,6,2,"LF"
607399,0,0,0,0,0,""
607430,0,0,0,0,0,""
607437,0,0,0,0,0,""
607457,38,0,0,2,0,"P"
607468,0,0,0,0,0,""
607471,0,0,0,0,0,"2B"
607473,0,0,0,0,0,""
607500,0,0,0,0,0,""
607540,0,0,0,0,0,""
607608,0,0,0,0,0,""
607625,2,0,0,0,0,"P"
607670,0,0,0,0,0,""
607680,87,85,201,5,3,"CF"
607706,1,0,1,0,0,"P"
607727,0,0,0,0,0,"P"
607732,2,2,17,0,0,"C"
607752,0,0,0,0,0,""
607776,22,18,45,0,1,"RF"
607951,0,0,0,0,0,"P"
607962,0,0,0,0,0,"P"
607968,0,0,0,0,0,"P"
608032,32,0,1,1,2,"P"
608061,0,0,0,0,0,"2B"
608070,102,70,90,74,4,"3B"
608115,0,0,0,0,0,""
608167,1,0,0,0,0,"P"
608325,0,0,0,0,0,"SS"
608328,0,0,0,0,0,"P"
608336,0,0,0,0,0,"3B"
608337,2,2,0,0,0,"P"
608348,0,0,0,0,0,"C"
608349,5,0,0,0,0,"P"
608365,80,75,92,203,10,"SS"
608369,87,82,117,206,11,"SS"
608371,0,0,0,0,0,"P"
608379,18,18,16,15,1,"P"
608384,0,0,0,0,0,"LF"
608385,0,0,0,0,0,"LF"
608566,0,0,0,0,0,"P"
608577,82,74,178,5,0,"RF"
608589,0,0,0,0,0,"OF"
608596,0,0,0,0,0,"C"
608638,1,0,0,0,0,"P"
608641,0,0,0,0,0,"P"
608648,14,14,5,8,0,"P"
608654,0,0,0,0,0,""
608665,16,16,6,11,0,"P"
608671,48,19,66,0,1,"CF"
608672,1,0,1,0,0,"2B"
608678,5,0,0,0,0,"P"
608685,0,0,0,0,0,""
608691,0,0,0,0,0,"P"
608700,40,37,307,19,4,"C"
608701,32,22,128,12,2,"1B"
608703,13,7,8,19,0,"SS"
608715,0,0,0,0,0,""
608717,7,0,1,0,0,"P"
608719,0,0,0,0,0,""
608723,0,0,0,0,0,"P"
608724,0,0,0,0,0,"LF"
608730,0,0,0,0,0,""
609275,0,0,0,0,0,"2B"
611093,12,0,2,0,0,"P"
611177,58,58,46,84,11,"3B"
612272,0,0,0,0,0,"P"
612434,19,0,3,4,1,"P"
612672,17,17,1,11,0,"P"
615868,3,0,0,1,0,"P"
616623,0,0,0,0,0,""
620439,0,0,0,0,0,"SS"
620442,0,0,0,0,0,""
620446,0,0,0,0,0,"SS"
621002,0,0,0,0,0,"SS"
621035,7,4,2,5,2,"3B"
621043,83,82,115,244,8,"SS"
621072,0,0,0,0,0,"P"
621078,0,0,0,0,0,""
621107,5,5,0,4,0,"P"
621121,9,9,7,7,0,"P"
621173,0,0,0,0,0,"P"
621199,27,0,3,7,1,"P"
621209,5,5,1,1,1,"P"
621212,0,0,0,0,0,""
621216,0,0,0,0,0,""
621219,1,0,0,0,0,"P"
621242,16,0,0,1,0,"P"
621244,4,4,0,3,0,"P"
621249,0,0,0,0,0,"P"
621281,3,0,1,2,0,"P"
621283,0,0,0,0,0,"P"
621289,0,0,0,0,0,"P"
621295,19,0,1,1,0,"P"
621311,0,0,0,0,0,"LF"
621355,0,0,0,0,0,"P"
621381,0,0,0,0,0,"P"
621385,3,0,0,0,0,"P"
621389,0,0,0,0,0,"P"
621397,1,0,0,1,0,"P"
621408,2,0,0,0,0,"P"
621413,0,0,0,0,0,""
621433,0,0,0,0,0,"CF"
621439,48,44,122,1,2,"CF"
621445,0,0,0,0,0,""
621446,0,0,0,0,0,"CF"
621471,0,0,0,0,0,"CF"
621511,0,0,0,0,0,""
621515,0,0,0,0,0,""
621528,0,0,0,0,0,""
621529,0,0,0,0,0,""
621531,0,0,0,0,0,""
621550,0,0,0,0,0,""
621559,0,0,0,0,0,"2B"
621563,0,0,0,0,0,"2B"
621566,0,0,0,0,0,"RF"
621962,0,0,0,0,0,"P"
622046,0,0,0,0,0,""
622072,10,10,1,6,0,"P"
622092,0,0,0,0,0,"P"
622097,0,0,0,0,0,"P"
622110,69,66,43,142,5,"3B"
622194,0,0,0,0,0,"C"
622217,0,0,0,0,0,"P"
622218,0,0,0,0,0,""
622505,0,0,0,0,0,"P"
622524,0,0,0,0,0,"P"
622534,0,0,0,0,0,"CF"
622608,0,0,0,0,0,"P"
622663,7,7,3,5,2,"P"
622712,0,0,0,0,0,""
622713,0,0,0,0,0,"SS"
622761,0,0,0,0,0,"SS"
622772,0,0,0,0,0,"P"
622795,0,0,0,0,0,"P"
623143,37,24,194,14,2,"C"
623149,0,0,0,0,0,""
623166,1,0,0,0,0,"SS"
623168,0,0,0,0,0,""
623182,0,0,0,0,0,"LF"
623184,9,0,1,1,0,"P"
623188,0,0,0,0,0,""
623195,0,0,0,0,0,""
623352,0,0,0,0,0,"P"
623395,10,0,0,2,0,"P"
623401,0,0,0,0,0,""
623406,0,0,0,0,0,"P"
623430,39,0,1,3,2,"P"
623439,15,0,0,1,1,"P"
623500,0,0,0,0,0,""
623912,0,0,0,0,0,"CF"
623923,0,0,0,0,0,""
624414,0,0,0,0,0,""
624424,58,56,99,3,2,"LF"
624428,10,2,7,2,0,"LF"
624507,0,0,0,0,0,""
624512,0,0,0,0,0,""
624513,0,0,0,0,0,""
624577,66,60,126,6,3,"RF"
624585,37,35,44,1,1,"LF"
624586,0,0,0,0,0,"P"
625329,0,0,0,0,0,"LF"
627892,0,0,0,0,0,""
628317,17,17,8,14,3,"P"
628329,4,2,6,0,0,"LF"
628333,10,0,0,1,0,"P"
628338,0,0,0,0,0,"LF"
628356,43,40,26,103,2,"3B"
628452,10,5,5,0,0,"P"
628711,8,8,1,9,0,"P"
629502,0,0,0,0,0,""
630029,0,0,0,0,0,""
630111,85,70,107,4,2,"RF"
633831,0,0,0,0,0,"P"
636072,0,0,0,0,0,""
640447,0,0,0,0,0,"LF"
640455,11,11,3,5,1,"P"
640461,0,0,0,0,0,"2B"
640463,0,0,0,0,0,"P"
641313,26,26,42,59,1,"SS"
641319,0,0,0,0,0,"2B"
641334,0,0,0,0,0,""
641339,0,0,0,0,0,""
641355,0,0,0,0,0,""
641438,0,0,0,0,0,"P"
641477,0,0,0,0,0,"CF"
641487,0,0,0,0,0,""
641490,11,0,0,1,0,"P"
641501,3,0,0,0,0,"P"
641531,0,0,0,0,0,"RF"
641553,0,0,0,0,0,"CF"
641558,0,0,0,0,0,""
641583,0,0,0,0,0,""
641598,0,0,0,0,0,"C"
641627,0,0,0,0,0,"P"
641632,0,0,0,0,0,""
641640,0,0,0,0,0,""
641680,0,0,0,0,0,""
641724,0,0,0,0,0,""
641729,0,0,0,0,0,""
641771,2,2,1,1,0,"P"
641820,0,0,0,0,0,"DH"
641840,0,0,0,0,0,""
641851,0,0,0,0,0,""
641857,0,0,0,0,0,""
641924,0,0,0,0,0,""
641929,0,0,0,0,0,""
641958,0,0,0,0,0,"RF"
642003,4,4,0,2,0,"P"
642008,0,0,0,0,0,"P"
642082,0,0,0,0,0,""
642086,0,0,0,0,0,""
642091,0,0,0,0,0,"P"
642094,0,0,0,0,0,""
642114,0,0,0,0,0,""
642117,0,0,0,0,0,""
642133,0,0,0,0,0,""
642140,0,0,0,0,0,""
642156,0,0,0,0,0,"C"
642180,0,0,0,0,0,""
642229,4,2,2,0,0,"P"
642435,0,0,0,0,0,""
642457,0,0,0,0,0,""
642471,0,0,0,0,0,""
642770,0,0,0,0,0,"SS"
642835,0,0,0,0,0,""
643218,0,0,0,0,0,""
643230,1,1,0,0,0,"P"
643297,5,0,0,0,0,"P"
643316,0,0,0,0,0,"P"
643325,14,0,3,0,1,"P"
643327,6,2,1,3,0,"P"
643337,0,0,0,0,0,""
643338,4,3,3,2,0,"P"
643364,0,0,0,0,0,""
643376,0,0,0,0,0,""
643392,0,0,0,0,0,""
643393,15,9,8,3,1,"LF"
643419,0,0,0,0,0,""
643440,0,0,0,0,0,""
643466,0,0,0,0,0,""
643550,2,0,0,1,0,"P"
643565,0,0,0,0,0,""
643603,44,40,324,21,4,"1B"
643778,0,0,0,0,0,"P"
645277,0,0,0,0,0,""
645521,0,0,0,0,0,""
645848,0,0,0,0,0,"RF"
648717,0,0,0,0,0,"LF"
648737,10,0,1,3,0,"P"
649557,77,72,83,216,15,"SS"
650869,0,0,0,0,0,""
650895,0,0,0,0,0,""
654786,0,0,0,0,0,""
656305,0,0,0,0,0,""
656322,0,0,0,0,0,""
656352,0,0,0,0,0,""
656375,0,0,0,0,0,""
656417,0,0,0,0,0,""
656485,0,0,0,0,0,""
656494,0,0,0,0,0,""
656546,0,0,0,0,0,"P"
656794,0,0,0,0,0,""
656920,0,0,0,0,0,""
656941,2,2,1,0,0,"LF"
657123,0,0,0,0,0,""
657139,0,0,0,0,0,""
657205,15,0,1,2,0,"P"
657670,24,0,0,4,0,"P"
657680,0,0,0,0,0,""
657686,0,0,0,0,0,""
657763,0,0,0,0,0,""
658792,0,0,0,0,0,""
661255,0,0,0,0,0,""
661281,0,0,0,0,0,"OF"
663411,0,0,0,0,0,""
664125,0,0,0,0,0,""
664463,0,0,0,0,0,""
664641,1,0,0,0,1,"P"
665285,0,0,0,0,0,""
665579,0,0,0,0,0,""
666560,24,24,189,17,1,"DH"
666888,0,0,0,0,0,"P"
