Role,fullname,Date,POS,Team,MLBId,Fielding.Petition
RP7,Kevin Chapman,NA,RP,HOU,502087,NO
#1,Adeiny Hechavarria,NA,SS,HOU,588751,NO
#2,Jose Altuve,NA,2B,HOU,514888,NO
#3,George Springer,NA,RF,HOU,543807,NO
#4,Yulieski Gurriel,NA,1B,HOU,493329,NO
#5,J.T. Realmuto,NA,CA,HOU,592663,NO
#6,Jason Heyward,NA,CF,HOU,518792,NO
#7,Evan Gattis,NA,DH,HOU,594828,NO
#8,Marwin Gonzalez,NA,3B,HOU,503556,NO
#9,Jake Marisnick,NA,LF,HOU,545350,NO
Bench,Pedro Alvarez,NA,3B,HOU,476883,NO
Bench,Nick Hundley,NA,CA,HOU,460026,NO
Bench,Marwin Gonzalez,NA,3B,HOU,503556,NO
SP1,Colin Moran,NA,LF,HOU,592567,NO
SP2,Matt Shoemaker,2017-04-07,SP,LAA,533167,NO
SP3,Hector Santiago,2017-04-08,SP,LAA,502327,NO
SP4,Tyler Skaggs,2017-04-05,SP,LAA,572140,NO
CLOSER,Cam Bedrosian,2017-04-05,RP,LAA,592135,NO
RP1,Jake McGee,NA,RP,LAA,459429,NO
RP2,Michael Ynoa,NA,RP,LAA,573589,NO
RP3,Jose Alvarez,NA,RP,LAA,501625,NO
RP4,Oliver Drake,NA,RP,LAA,543118,NO
RP5,Reyes Moronta,NA,RP,LAA,606625,NO
RP6,Thyago Vieira,NA,RP,LAA,600986,NO
RP7,Deolis Guerra,NA,RP,LAA,500610,NO
#1,Cliff Pennington,NA,2B,LAA,460060,NO
#2,Kole Calhoun,NA,RF,LAA,594777,NO
#3,Mike Trout,NA,CF,LAA,545361,NO
#4,Albert Pujols,NA,DH,LAA,405395,NO
#5,Adrian Gonzalez,NA,1B,LAA,408236,NO
#6,Avisail Garcia,NA,LF,LAA,541645,NO
#7,Jefry Marte,NA,3B,LAA,527043,NO
