"Date","Visit","Home","DH","Rain","Away_Score","Home_Score"
2017-05-01,"COL","ARI",NA,NA,NA,NA
2017-05-01,"ATL","MIL",NA,NA,NA,NA
2017-05-01,"CIN","STL",NA,NA,NA,NA
2017-05-01,"PHI","LAN",NA,NA,NA,NA
2017-05-01,"PIT","MIA",NA,NA,NA,NA
2017-05-01,"NYN","WAS",NA,NA,NA,NA
2017-05-01,"SD","SF",NA,NA,NA,NA
2017-05-02,"BAL","NYA",NA,NA,NA,NA
2017-05-02,"CHN","BOS",NA,NA,NA,NA
2017-05-02,"CHA","DET",NA,NA,NA,NA
2017-05-02,"SEA","CLE",NA,NA,NA,NA
2017-05-02,"OAK","HOU",NA,NA,NA,NA
2017-05-02,"MIN","KC",NA,NA,NA,NA
2017-05-02,"LAA","TEX",NA,NA,NA,NA
2017-05-02,"TB","TOR",NA,NA,NA,NA
2017-05-02,"COL","ARI",NA,NA,NA,NA
2017-05-02,"ATL","MIL",NA,NA,NA,NA
2017-05-02,"CIN","STL",NA,NA,NA,NA
2017-05-02,"PHI","LAN",NA,NA,NA,NA
2017-05-02,"PIT","MIA",NA,NA,NA,NA
2017-05-02,"NYN","WAS",NA,NA,NA,NA
2017-05-02,"SD","SF",NA,NA,NA,NA
2017-05-03,"BAL","NYA",NA,NA,NA,NA
2017-05-03,"CHN","BOS",NA,NA,NA,NA
2017-05-03,"CHA","DET",NA,NA,NA,NA
2017-05-03,"SEA","CLE",NA,NA,NA,NA
2017-05-03,"OAK","HOU",NA,NA,NA,NA
2017-05-03,"MIN","KC",NA,NA,NA,NA
2017-05-03,"LAA","TEX",NA,NA,NA,NA
2017-05-03,"TB","TOR",NA,NA,NA,NA
2017-05-03,"COL","ARI",NA,NA,NA,NA
2017-05-03,"ATL","MIL",NA,NA,NA,NA
2017-05-03,"CIN","STL",NA,NA,NA,NA
2017-05-03,"PHI","LAN",NA,NA,NA,NA
2017-05-03,"PIT","MIA",NA,NA,NA,NA
2017-05-03,"NYN","WAS",NA,NA,NA,NA
2017-05-03,"SD","SF",NA,NA,NA,NA
2017-05-04,"BAL","BOS",NA,NA,NA,NA
2017-05-04,"CHA","KC",NA,NA,NA,NA
2017-05-04,"CLE","DET",NA,NA,NA,NA
2017-05-04,"TEX","HOU",NA,NA,NA,NA
2017-05-04,"TOR","NYA",NA,NA,NA,NA
2017-05-04,"TB","MIA",NA,NA,NA,NA
2017-05-04,"NYN","ATL",NA,NA,NA,NA
2017-05-04,"PHI","CHN",NA,NA,NA,NA
2017-05-04,"PIT","CIN",NA,NA,NA,NA
2017-05-04,"SF","LAN",NA,NA,NA,NA
2017-05-04,"MIL","STL",NA,NA,NA,NA
2017-05-05,"BAL","BOS",NA,NA,NA,NA
2017-05-05,"CHA","KC",NA,NA,NA,NA
2017-05-05,"CLE","DET",NA,NA,NA,NA
2017-05-05,"TEX","HOU",NA,NA,NA,NA
2017-05-05,"LAA","SEA",NA,NA,NA,NA
2017-05-05,"OAK","MIN",NA,NA,NA,NA
2017-05-05,"TOR","NYA",NA,NA,NA,NA
2017-05-05,"TB","MIA",NA,NA,NA,NA
2017-05-05,"ARI","WAS",NA,NA,NA,NA
2017-05-05,"NYN","ATL",NA,NA,NA,NA
2017-05-05,"PHI","CHN",NA,NA,NA,NA
2017-05-05,"PIT","CIN",NA,NA,NA,NA
2017-05-05,"COL","SD",NA,NA,NA,NA
2017-05-05,"SF","LAN",NA,NA,NA,NA
2017-05-05,"MIL","STL",NA,NA,NA,NA
2017-05-06,"BAL","BOS",NA,NA,NA,NA
2017-05-06,"CHA","KC",NA,NA,NA,NA
2017-05-06,"CLE","DET",NA,NA,NA,NA
2017-05-06,"TEX","HOU",NA,NA,NA,NA
2017-05-06,"LAA","SEA",NA,NA,NA,NA
2017-05-06,"OAK","MIN",NA,NA,NA,NA
2017-05-06,"TOR","NYA",NA,NA,NA,NA
2017-05-06,"MIA","TB",NA,NA,NA,NA
2017-05-06,"ARI","WAS",NA,NA,NA,NA
2017-05-06,"NYN","ATL",NA,NA,NA,NA
2017-05-06,"PHI","CHN",NA,NA,NA,NA
2017-05-06,"PIT","CIN",NA,NA,NA,NA
2017-05-06,"COL","SD",NA,NA,NA,NA
2017-05-06,"SF","LAN",NA,NA,NA,NA
2017-05-06,"MIL","STL",NA,NA,NA,NA
2017-05-07,"BAL","BOS",NA,NA,NA,NA
2017-05-07,"CHA","KC",NA,NA,NA,NA
2017-05-07,"CLE","DET",NA,NA,NA,NA
2017-05-07,"TEX","HOU",NA,NA,NA,NA
2017-05-07,"LAA","SEA",NA,NA,NA,NA
2017-05-07,"OAK","MIN",NA,NA,NA,NA
2017-05-07,"MIA","TB",NA,NA,NA,NA
2017-05-07,"ARI","WAS",NA,NA,NA,NA
2017-05-07,"NYN","ATL",NA,NA,NA,NA
2017-05-07,"PHI","CHN",NA,NA,NA,NA
2017-05-07,"PIT","CIN",NA,NA,NA,NA
2017-05-07,"COL","SD",NA,NA,NA,NA
2017-05-07,"MIL","STL",NA,NA,NA,NA
2017-05-08,"CHA","BAL",NA,NA,NA,NA
2017-05-08,"BOS","MIN",NA,NA,NA,NA
2017-05-08,"CLE","KC",NA,NA,NA,NA
2017-05-08,"DET","OAK",NA,NA,NA,NA
2017-05-08,"HOU","LAA",NA,NA,NA,NA
2017-05-08,"NYA","CHN",NA,NA,NA,NA
2017-05-08,"TEX","SEA",NA,NA,NA,NA
2017-05-08,"TOR","TB",NA,NA,NA,NA
2017-05-08,"ARI","COL",NA,NA,NA,NA
2017-05-08,"STL","ATL",NA,NA,NA,NA
2017-05-08,"SF","CIN",NA,NA,NA,NA
2017-05-08,"LAN","SD",NA,NA,NA,NA
2017-05-08,"MIA","NYN",NA,NA,NA,NA
2017-05-08,"MIL","PIT",NA,NA,NA,NA
2017-05-08,"WAS","PHI",NA,NA,NA,NA
2017-05-09,"CHA","BAL",NA,NA,NA,NA
2017-05-09,"BOS","MIN",NA,NA,NA,NA
2017-05-09,"CLE","KC",NA,NA,NA,NA
2017-05-09,"DET","OAK",NA,NA,NA,NA
2017-05-09,"HOU","LAA",NA,NA,NA,NA
2017-05-09,"NYA","CHN",NA,NA,NA,NA
2017-05-09,"TEX","SEA",NA,NA,NA,NA
2017-05-09,"TOR","TB",NA,NA,NA,NA
2017-05-09,"ARI","COL",NA,NA,NA,NA
2017-05-09,"STL","ATL",NA,NA,NA,NA
2017-05-09,"SF","CIN",NA,NA,NA,NA
2017-05-09,"LAN","SD",NA,NA,NA,NA
2017-05-09,"MIA","NYN",NA,NA,NA,NA
