GameId,GameString,GameDate,LastName,FirstName,MLBId,PlayerName,PlayerId,Team,TeamNbr,Pos,PrevDayGamesPlayed,G,GS,INN,PO,A,E,DP,TP,PB,FPctP,SB,CS,PKOF,FPctC,Outs,Chances,Zone,FPct,Pivots2B,Cint,Cer,Cera,Efield,Ethrow
,,,Rasmus,Cory,474284,"Rasmus Cory",2413,LAA,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Kluber,Corey,446372,"Kluber Corey",2429,CLE,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Barney,Darwin,446381,"Barney Darwin",2430,TOR,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Cruz,Nelson,443558,"Cruz Nelson",2434,SEA,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Izturis,Maicer,430895,"Izturis Maicer",2437,TOR,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Easley,Edward,446225,"Easley Ed",2487,PIT,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Alvarez,Pedro Manuel,476883,"Alvarez Pedro",2495,BAL,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Weeks,Jemile Nykiwa,457789,"Weeks Jemile",2498,SD,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Duda,Lucas,446263,"Duda Lucas",2502,NYN,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Conger,Hank,474233,"Conger Hank",2505,TB,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Lynn,Michael,458681,"Lynn Lance",2520,STL,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Alonso,Yonder,475174,"Alonso Yonder",2530,OAK,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Kozma,Peter,518902,"Kozma Pete",2539,NYA,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Parmelee,Chris,476633,"Parmelee Chris",2554,NYA,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Bourjos,Peter,488721,"Bourjos Peter",2578,PHI,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Ruiz,Carlos Joaquin,434563,"Ruiz Carlos",2579,LAN,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Chacin,Jhoulys,468504,"Chacin Jhoulys",2608,LAA,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Cozart,Zachary,446359,"Cozart Zack",2616,CIN,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Guyer,Brandon,446386,"Guyer Brandon",2636,CLE,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Matusz,Brian Robert,451085,"Matusz Brian",2646,CHN,2,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Brown,Corey,446395,"Brown Corey",2650,LAN,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,Cecil,Brett,446399,"Cecil Brett",2660,TOR,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,
