GameDate,FirstName,LastName,Team,LW,,,,,,,,,PA,AB,R,H,1B,2B,3B,HR,RBI,SAC,SF,HBP,BB,K,SB,CS,GIDP,HFC,GB,FB,LD,POPU,BH,IFH,OUTS,,,,,,,,
4/20/2016,Justin James,Bour,MIA,-0.96,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,,0,2,,,,,,,,
4/28/2016,Jose,Fernandez,MIA,-0.50,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,2,,,,,,,,
4/24/2016,Christopher,Johnson,MIA,-1.03,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,,0,2,,,,,,,,
4/17/2016,Marcell,Ozuna,MIA,-0.57,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,0,2,,,,,,,,
4/7/2016,David,Phelps,MIA,0.14,,,,,,,,,2,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,,0,1,,,,,,,,
4/4/2016,Keon,Broxton,MIL,-0.50,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,2,,,,,,,,
4/22/2016,Zachary Ryan,Davies,MIL,-0.57,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,0,2,,,,,,,,
4/4/2016,Ramon,Flores,MIL,-0.50,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,2,,,,,,,,
4/18/2016,Ramon,Flores,MIL,-0.50,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,2,,,,,,,,
4/21/2016,Ramon,Flores,MIL,0.08,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,0,1,,,,,,,,
4/9/2016,Aaron,Hill,MIL,-0.50,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,2,,,,,,,,
4/28/2016,Aaron,Hill,MIL,-0.57,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,0,2,,,,,,,,
4/6/2016,Taylor Heath,Jungmann,MIL,0.14,,,,,,,,,2,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,0,1,,,,,,,,
4/15/2016,Kirk Robert,Nieuwenhuis,MIL,0.01,,,,,,,,,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,1,,,,,,,,
4/29/2016,Hernan,Perez,MIL,-0.50,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,2,,,,,,,,
4/30/2016,Hernan,Perez,MIL,1.15,,,,,,,,,2,2,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,1,,,,,,,,
4/30/2016,Alexander,Presley,MIL,-0.50,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,2,,,,,,,,
4/17/2016,Yadiel,Rivera,MIL,0.14,,,,,,,,,2,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,0,1,,,,,,,,
4/26/2016,Yadiel,Rivera,MIL,-0.57,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,0,2,,,,,,,,
4/29/2016,Yadiel,Rivera,MIL,-0.57,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,0,2,,,,,,,,
4/29/2016,Colin,Walsh,MIL,0.79,,,,,,,,,2,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,,0,0,,,,,,,,
4/30/2016,Colin,Walsh,MIL,-0.50,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,2,,,,,,,,
4/14/2016,Max,Kepler,MIN,0.08,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,0,1,,,,,,,,
4/20/2016,Max,Kepler,MIN,0.55,,,,,,,,,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,0,1,,,,,,,,
4/24/2016,Max,Kepler,MIN,-0.57,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,0,2,,,,,,,,
4/21/2016,Eduardo,Nunez,MIN,-0.05,,,,,,,,,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,,0,1,,,,,,,,
4/9/2016,Miguel Angel,Sano,MIN,-0.57,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,0,2,,,,,,,,
