GameDate,FirstName,LastName,Team,LW,,,,,,,,,PA,AB,R,H,1B,2B,3B,HR,RBI,SAC,SF,HBP,BB,K,SB,CS,GIDP,HFC,GB,FB,LD,POPU,BH,IFH,OUTS,,,,,,,
4/20/2016,Alex,Avila,CHA,-0.23,,,,,,,,,3,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,,0,2,,,,,,,
4/21/2016,Alex,Avila,CHA,0.47,,,,,,,,,3,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,,0,1,,,,,,,
4/23/2016,Alex,Avila,CHA,1.12,,,,,,,,,3,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,,1,0,,,,,,,
4/30/2016,Melky,Cabrera,CHA,-1.32,,,,,,,,,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,2,,0,5,,,,,,,
4/14/2016,Adam,Eaton,CHA,0.36,,,,,,,,,5,5,1,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,,0,3,,,,,,,
4/30/2016,Adam,Eaton,CHA,0.04,,,,,,,,,5,4,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,3,,,,,,,
4/14/2016,Todd,Frazier,CHA,-0.77,,,,,,,,,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,,0,4,,,,,,,
4/30/2016,Todd,Frazier,CHA,0.98,,,,,,,,,5,4,1,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,2,2,0,1,,0,3,,,,,,,
4/25/2016,Avisail,Garcia,CHA,0.69,,,,,,,,,4,4,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,,0,2,,,,,,,
4/26/2016,Avisail,Garcia,CHA,2.14,,,,,,,,,5,3,3,2,1,0,0,1,2,0,1,0,1,0,0,0,0,0,2,1,1,0,,0,1,,,,,,,
4/28/2016,Avisail,Garcia,CHA,1.00,,,,,,,,,4,3,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,,1,1,,,,,,,
4/30/2016,Austin,Jackson,CHA,-0.44,,,,,,,,,4,4,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,,0,3,,,,,,,
4/14/2016,Brett,Lawrie,CHA,-0.75,,,,,,,,,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,,1,3,,,,,,,
4/30/2016,Brett,Lawrie,CHA,1.46,,,,,,,,,4,3,2,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,,0,2,,,,,,,
4/30/2016,Dioner,Navarro,CHA,-0.44,,,,,,,,,4,4,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,,0,3,,,,,,,
4/22/2016,Tyler,Saladino,CHA,-0.75,,,,,,,,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,,0,3,,,,,,,
4/30/2016,Tyler,Saladino,CHA,-1.28,,,,,,,,,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,,0,3,,,,,,,
4/13/2016,Gerald,Sands,CHA,0.43,,,,,,,,,4,4,1,1,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,1,0,0,,0,3,,,,,,,
4/30/2016,Gerald,Sands,CHA,0.35,,,,,,,,,4,4,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,,0,2,,,,,,,
4/4/2016,Kris,Bryant,CHN,-0.24,,,,,,,,,5,3,2,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,1,0,0,0,,0,3,,,,,,,
4/29/2016,Dexter,Fowler,CHN,0.16,,,,,,,,,4,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,,0,2,,,,,,,
4/29/2016,Jason,Heyward,CHN,-0.49,,,,,,,,,4,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,,0,3,,,,,,,
4/28/2016,Tommy,La Stella,CHN,1.21,,,,,,,,,4,2,1,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,1,,0,1,,,,,,,
4/4/2016,Anthony Vincent,Rizzo,CHN,0.62,,,,,,,,,5,3,1,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,1,1,1,1,,0,2,,,,,,,
4/29/2016,Anthony,Rizzo,CHN,0.29,,,,,,,,,4,3,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,,0,2,,,,,,,
4/29/2016,David,Ross,CHN,-0.75,,,,,,,,,4,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,1,1,,0,3,,,,,,,
4/29/2016,Addison,Russell,CHN,-0.42,,,,,,,,,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,,0,3,,,,,,,
4/29/2016,Jorge,Soler,CHN,-0.11,,,,,,,,,3,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,,0,2,,,,,,,
4/26/2016,Ronald,Torreyes,CHN,0.67,,,,,,,,,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,,0,1,,,,,,,
4/27/2016,Ronald,Torreyes,CHN,-0.75,,,,,,,,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,,0,3,,,,,,,
4/29/2016,Benjamin,Zobrist,CHN,0.29,,,,,,,,,4,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,,0,2,,,,,,,
4/30/2016,Tucker,Barnhart,CIN,-0.42,,,,,,,,,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,,0,3,,,,,,,
4/30/2016,Jay,Bruce,CIN,-0.49,,,,,,,,,4,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,,0,3,,,,,,,
4/27/2016,Zachary,Cozart,CIN,1.29,,,,,,,,,4,4,2,2,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,2,0,0,,1,2,,,,,,,
4/29/2016,Zachary,Cozart,CIN,-1.07,,,,,,,,,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,,0,4,,,,,,,
4/30/2016,Zachary,Cozart,CIN,-0.35,,,,,,,,,5,5,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,2,1,0,0,,0,4,,,,,,,
4/30/2016,Adam,Duvall,CIN,-1.15,,,,,,,,,4,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,,0,4,,,,,,,
4/30/2016,Billy,Hamilton,CIN,1.13,,,,,,,,,4,4,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,,1,1,,,,,,,
4/19/2016,Tyler,Holt,CIN,0.38,,,,,,,,,3,2,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,,0,1,,,,,,,
4/22/2016,Tyler,Holt,CIN,-0.40,,,,,,,,,3,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,,0,2,,,,,,,
4/4/2016,Devin Douglas,Mesoraco,CIN,-1.07,,,,,,,,,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,,0,4,,,,,,,
4/16/2016,Devin Douglas,Mesoraco,CIN,-0.22,,,,,,,,,5,4,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2,0,,0,3,,,,,,,
